fide_id,period,rating_type,tournament_name,event_location_fed,event_start_date,event_end_date,event_rc,event_ro,event_score,event_games,event_chg,event_k,event_k_chg,opponent_name,opponent_title,opponent_rating,rating_difference_over_400_flag,opponent_fed,score,n,chg,k,k_chg
531033652,2024-09-01,0,Think &amp; Plan August 2024-Standard,Sharjah UAE,2024-08-10,2024-08-12,,,3.5,6,0.0,1618,,"Arnab, Jena",,1932.0,False,IND,0.0,1,0.0,,0.0
531033652,2024-09-01,0,Think &amp; Plan August 2024-Standard,Sharjah UAE,2024-08-10,2024-08-12,,,3.5,6,0.0,1618,,"Sinno , Abdul Salam",,1566.0,False,LBN,0.5,1,0.0,,0.0
531033652,2024-09-01,0,Think &amp; Plan August 2024-Standard,Sharjah UAE,2024-08-10,2024-08-12,,,3.5,6,0.0,1618,,"Hafiz, Manaf",,1460.0,False,IND,1.0,1,0.0,,0.0
531033652,2024-09-01,0,Think &amp; Plan August 2024-Standard,Sharjah UAE,2024-08-10,2024-08-12,,,3.5,6,0.0,1618,,"Joel, Tojan",,1518.0,False,IND,1.0,1,0.0,,0.0
531033652,2024-09-01,0,Think &amp; Plan August 2024-Standard,Sharjah UAE,2024-08-10,2024-08-12,,,3.5,6,0.0,1618,,"Saqar, Essa Khamis",,1691.0,False,UAE,0.0,1,0.0,,0.0
531033652,2024-09-01,0,Think &amp; Plan August 2024-Standard,Sharjah UAE,2024-08-10,2024-08-12,,,3.5,6,0.0,1618,,"Gokul, Krishna Sajin Resmy",,1421.0,False,IND,1.0,1,0.0,,0.0
531033652,2024-10-01,0,Think &amp; Plan September 2024 -Standard,Sharjah UAE,2024-09-13,2024-09-15,1446.0,1692.0,2.5,4,-0.72,40,-28.8,"Jasper, Selvin Jayaseelan",,1449.0,False,IND,0.5,1,-0.3,40.0,-12.0
531033652,2024-10-01,0,Think &amp; Plan September 2024 -Standard,Sharjah UAE,2024-09-13,2024-09-15,1446.0,1692.0,2.5,4,-0.72,40,-28.8,"Olandag, Meghan Gabrielle",,1479.0,False,PHI,0.5,1,-0.27,40.0,-10.8
531033652,2024-10-01,0,Think &amp; Plan September 2024 -Standard,Sharjah UAE,2024-09-13,2024-09-15,1446.0,1692.0,2.5,4,-0.72,40,-28.8,"Aamina, Shaikh Israr",,1444.0,False,IND,1.0,1,0.19,40.0,7.6
531033652,2024-10-01,0,Think &amp; Plan September 2024 -Standard,Sharjah UAE,2024-09-13,2024-09-15,1446.0,1692.0,2.5,4,-0.72,40,-28.8,"Rivera, Ariel",,1411.0,False,PHI,0.5,1,-0.34,40.0,-13.6
